rounds,mean_avalanche_percent,std_avalanche_percent,mean_npcr_percent,std_npcr_percent,mean_uaci_percent,std_uaci_percent,mean_encryption_time_ms,std_encryption_time_ms,reversibility_passed
2,0.625,0.24829754928270634,0.625,0.24829754928270634,0.625,0.24829754928270634,0.48865399905480444,0.014886552683387734,True
4,0.75,0.28678098220602166,0.75,0.28678098220602166,0.75,0.28678098220602166,0.8747010002844036,0.04337549895598238,True
6,0.8046875,0.32288229900203325,0.8046875,0.32288229900203325,0.8046875,0.32288229900203325,1.2491739995311946,0.07411907557931259,True
8,0.984375,0.3532463532877744,0.984375,0.3532463532877744,0.984375,0.3532463532877744,1.6549149982165545,0.12074511740935868,True
10,0.87890625,0.31099206097110915,0.87890625,0.31099206097110915,0.87890625,0.31099206097110915,2.012390000745654,0.079345127495348,True
