trial,rounds,diff_bits,bit_avalanche_percent,bit_npcr_percent,byte_npcr_percent,byte_uaci_percent
96,2,5,1.953125,1.953125,12.5,1.6544117647058825
97,2,1,0.390625,0.390625,3.125,0.39215686274509803
98,2,4,1.5625,1.5625,9.375,0.09803921568627451
99,2,8,3.125,3.125,12.5,1.6666666666666667
100,2,3,1.171875,1.171875,9.375,1.6666666666666667
1,4,4,1.5625,1.5625,12.5,0.12254901960784313
2,4,5,1.953125,1.953125,12.5,1.5931372549019607
3,4,19,7.421875,7.421875,21.875,3.2475490196078436
4,4,7,2.734375,2.734375,18.75,2.156862745098039
5,4,8,3.125,3.125,12.5,1.397058823529412
6,4,17,6.640625,6.640625,31.25,3.66421568627451
7,4,8,3.125,3.125,12.5,2.0098039215686274
8,4,12,4.6875,4.6875,25.0,4.926470588235294
9,4,14,5.46875,5.46875,21.875,4.644607843137255
10,4,10,3.90625,3.90625,15.625,2.3039215686274512
11,4,14,5.46875,5.46875,21.875,4.166666666666666
12,4,7,2.734375,2.734375,15.625,2.3651960784313726
13,4,17,6.640625,6.640625,34.375,7.5
14,4,22,8.59375,8.59375,34.375,3.1372549019607843
15,4,20,7.8125,7.8125,34.375,4.571078431372548
16,4,16,6.25,6.25,21.875,2.0098039215686274
17,4,11,4.296875,4.296875,25.0,4.644607843137255
18,4,14,5.46875,5.46875,28.125,6.041666666666667
19,4,12,4.6875,4.6875,25.0,3.21078431372549
20,4,4,1.5625,1.5625,12.5,0.09803921568627451
21,4,12,4.6875,4.6875,21.875,2.218137254901961
22,4,13,5.078125,5.078125,15.625,3.566176470588235
23,4,17,6.640625,6.640625,21.875,4.509803921568627
24,4,3,1.171875,1.171875,9.375,0.46568627450980393
25,4,17,6.640625,6.640625,28.125,4.325980392156863
26,4,3,1.171875,1.171875,6.25,0.2696078431372549
27,4,5,1.953125,1.953125,9.375,1.5808823529411764
28,4,14,5.46875,5.46875,25.0,5.17156862745098
29,4,7,2.734375,2.734375,12.5,2.769607843137255
30,4,23,8.984375,8.984375,37.5,4.044117647058823
31,4,6,2.34375,2.34375,9.375,2.0588235294117645
32,4,20,7.8125,7.8125,28.125,8.002450980392156
33,4,11,4.296875,4.296875,18.75,0.9313725490196079
34,4,3,1.171875,1.171875,9.375,0.24509803921568626
35,4,15,5.859375,5.859375,34.375,2.5245098039215685
36,4,15,5.859375,5.859375,18.75,3.995098039215686
37,4,11,4.296875,4.296875,18.75,1.3235294117647058
38,4,5,1.953125,1.953125,15.625,1.6176470588235297
39,4,24,9.375,9.375,37.5,3.517156862745098
40,4,12,4.6875,4.6875,18.75,1.678921568627451
41,4,13,5.078125,5.078125,21.875,2.8799019607843137
42,4,25,9.765625,9.765625,34.375,6.102941176470588
43,4,8,3.125,3.125,15.625,2.659313725490196
44,4,3,1.171875,1.171875,9.375,3.1495098039215685
45,4,5,1.953125,1.953125,9.375,3.5784313725490193
46,4,13,5.078125,5.078125,28.125,6.740196078431373
47,4,14,5.46875,5.46875,21.875,4.6568627450980395
48,4,15,5.859375,5.859375,25.0,2.0098039215686274
49,4,12,4.6875,4.6875,31.25,7.169117647058823
50,4,8,3.125,3.125,15.625,4.509803921568627
51,4,8,3.125,3.125,18.75,0.19607843137254902
52,4,8,3.125,3.125,21.875,2.794117647058824
53,4,17,6.640625,6.640625,31.25,4.1421568627450975
54,4,18,7.03125,7.03125,34.375,5.784313725490196
55,4,1,0.390625,0.390625,3.125,0.09803921568627451
56,4,15,5.859375,5.859375,28.125,2.0588235294117645
57,4,11,4.296875,4.296875,25.0,4.779411764705882
58,4,9,3.515625,3.515625,15.625,4.926470588235294
59,4,12,4.6875,4.6875,25.0,4.82843137254902
60,4,16,6.25,6.25,25.0,3.5416666666666665
61,4,18,7.03125,7.03125,25.0,6.409313725490195
62,4,13,5.078125,5.078125,18.75,1.397058823529412
63,4,14,5.46875,5.46875,31.25,3.2843137254901964
64,4,22,8.59375,8.59375,25.0,7.708333333333334
65,4,11,4.296875,4.296875,18.75,4.215686274509804
66,4,8,3.125,3.125,21.875,4.436274509803922
67,4,15,5.859375,5.859375,28.125,5.318627450980392
68,4,10,3.90625,3.90625,21.875,1.875
69,4,12,4.6875,4.6875,21.875,5.2328431372549025
70,4,12,4.6875,4.6875,31.25,1.9730392156862744
71,4,18,7.03125,7.03125,34.375,9.632352941176471
72,4,3,1.171875,1.171875,9.375,0.0857843137254902
73,4,7,2.734375,2.734375,12.5,0.3676470588235294
74,4,6,2.34375,2.34375,12.5,0.4166666666666667
75,4,6,2.34375,2.34375,15.625,3.3823529411764706
76,4,13,5.078125,5.078125,25.0,3.517156862745098
77,4,17,6.640625,6.640625,34.375,5.833333333333333
78,4,17,6.640625,6.640625,28.125,3.21078431372549
79,4,15,5.859375,5.859375,25.0,6.666666666666667
80,4,14,5.46875,5.46875,21.875,4.852941176470589
81,4,18,7.03125,7.03125,31.25,5.147058823529411
82,4,9,3.515625,3.515625,9.375,2.1323529411764706
83,4,19,7.421875,7.421875,34.375,7.120098039215686
84,4,17,6.640625,6.640625,40.625,4.754901960784314
85,4,11,4.296875,4.296875,18.75,5.2818627450980395
86,4,16,6.25,6.25,34.375,2.389705882352941
87,4,11,4.296875,4.296875,18.75,1.5931372549019607
88,4,19,7.421875,7.421875,34.375,6.384803921568627
89,4,16,6.25,6.25,21.875,4.448529411764706
90,4,5,1.953125,1.953125,9.375,1.7034313725490196
91,4,15,5.859375,5.859375,25.0,6.102941176470588
92,4,5,1.953125,1.953125,12.5,0.6372549019607843
93,4,3,1.171875,1.171875,6.25,1.3725490196078431
94,4,12,4.6875,4.6875,25.0,6.78921568627451
95,4,24,9.375,9.375,25.0,5.110294117647059
96,4,13,5.078125,5.078125,18.75,1.2990196078431373
97,4,2,0.78125,0.78125,6.25,3.1372549019607843
98,4,11,4.296875,4.296875,21.875,4.1421568627450975
99,4,27,10.546875,10.546875,46.875,10.11029411764706
100,4,13,5.078125,5.078125,21.875,2.659313725490196
1,6,7,2.734375,2.734375,12.5,1.9730392156862744
2,6,16,6.25,6.25,28.125,9.191176470588236
3,6,32,12.5,12.5,56.25,12.855392156862743
4,6,14,5.46875,5.46875,28.125,3.419117647058824
5,6,22,8.59375,8.59375,34.375,6.985294117647059
6,6,41,16.015625,16.015625,53.125,13.61519607843137
7,6,34,13.28125,13.28125,43.75,7.230392156862746
8,6,29,11.328125,11.328125,43.75,10.036764705882353
9,6,37,14.453125,14.453125,50.0,13.566176470588234
10,6,26,10.15625,10.15625,40.625,11.05392156862745
11,6,32,12.5,12.5,46.875,10.882352941176471
12,6,20,7.8125,7.8125,34.375,10.71078431372549
13,6,32,12.5,12.5,46.875,10.686274509803921
14,6,40,15.625,15.625,43.75,12.696078431372548
15,6,45,17.578125,17.578125,59.375,13.909313725490197
16,6,36,14.0625,14.0625,50.0,9.534313725490195
17,6,27,10.546875,10.546875,40.625,9.791666666666666
18,6,31,12.109375,12.109375,43.75,11.53186274509804
19,6,30,11.71875,11.71875,53.125,9.82843137254902
20,6,12,4.6875,4.6875,25.0,4.424019607843137
21,6,33,12.890625,12.890625,46.875,12.781862745098039
22,6,23,8.984375,8.984375,34.375,1.5073529411764706
23,6,30,11.71875,11.71875,46.875,10.061274509803923
24,6,13,5.078125,5.078125,25.0,5.355392156862745
25,6,33,12.890625,12.890625,56.25,10.60049019607843
26,6,6,2.34375,2.34375,15.625,1.825980392156863
27,6,20,7.8125,7.8125,34.375,8.529411764705882
28,6,30,11.71875,11.71875,43.75,11.801470588235293
29,6,24,9.375,9.375,28.125,7.291666666666667
30,6,37,14.453125,14.453125,56.25,15.183823529411763
31,6,11,4.296875,4.296875,21.875,1.4583333333333333
32,6,38,14.84375,14.84375,50.0,8.21078431372549
33,6,25,9.765625,9.765625,37.5,7.512254901960784
34,6,9,3.515625,3.515625,21.875,0.8333333333333334
35,6,38,14.84375,14.84375,50.0,15.661764705882353
36,6,27,10.546875,10.546875,43.75,6.727941176470588
37,6,24,9.375,9.375,40.625,3.6274509803921573
38,6,17,6.640625,6.640625,28.125,5.88235294117647
39,6,38,14.84375,14.84375,46.875,12.156862745098039
40,6,27,10.546875,10.546875,37.5,11.642156862745098
41,6,36,14.0625,14.0625,46.875,8.627450980392156
42,6,45,17.578125,17.578125,62.5,15.992647058823529
43,6,15,5.859375,5.859375,31.25,7.389705882352941
44,6,8,3.125,3.125,12.5,1.1274509803921569
45,6,15,5.859375,5.859375,31.25,5.110294117647059
46,6,30,11.71875,11.71875,40.625,8.946078431372548
47,6,38,14.84375,14.84375,56.25,12.708333333333332
48,6,29,11.328125,11.328125,37.5,6.911764705882353
49,6,36,14.0625,14.0625,50.0,11.05392156862745
50,6,25,9.765625,9.765625,31.25,5.318627450980392
51,6,20,7.8125,7.8125,40.625,3.6887254901960786
52,6,30,11.71875,11.71875,31.25,8.933823529411764
53,6,39,15.234375,15.234375,50.0,14.215686274509803
54,6,35,13.671875,13.671875,56.25,6.102941176470588
55,6,5,1.953125,1.953125,15.625,2.769607843137255
56,6,33,12.890625,12.890625,53.125,11.323529411764707
57,6,24,9.375,9.375,40.625,6.752450980392156
58,6,28,10.9375,10.9375,37.5,8.198529411764707
59,6,28,10.9375,10.9375,50.0,11.85049019607843
60,6,29,11.328125,11.328125,43.75,7.426470588235294
61,6,28,10.9375,10.9375,43.75,6.580882352941177
62,6,26,10.15625,10.15625,46.875,7.340686274509804
63,6,33,12.890625,12.890625,59.375,17.07107843137255
64,6,37,14.453125,14.453125,43.75,5.759803921568627
65,6,26,10.15625,10.15625,37.5,5.6004901960784315
66,6,21,8.203125,8.203125,34.375,3.321078431372549
67,6,34,13.28125,13.28125,56.25,13.088235294117649
68,6,20,7.8125,7.8125,34.375,8.63970588235294
69,6,31,12.109375,12.109375,53.125,15.28186274509804
70,6,34,13.28125,13.28125,46.875,10.637254901960784
71,6,45,17.578125,17.578125,53.125,14.963235294117647
72,6,2,0.78125,0.78125,6.25,0.11029411764705882
73,6,18,7.03125,7.03125,31.25,4.227941176470589
74,6,17,6.640625,6.640625,34.375,2.7083333333333335
75,6,28,10.9375,10.9375,31.25,5.428921568627451
76,6,32,12.5,12.5,46.875,10.919117647058824
77,6,32,12.5,12.5,53.125,11.200980392156863
78,6,25,9.765625,9.765625,46.875,9.779411764705882
79,6,30,11.71875,11.71875,43.75,9.791666666666666
80,6,32,12.5,12.5,46.875,11.654411764705882
81,6,43,16.796875,16.796875,65.625,17.36519607843137
82,6,13,5.078125,5.078125,28.125,3.1372549019607843
83,6,28,10.9375,10.9375,37.5,7.7818627450980395
84,6,44,17.1875,17.1875,62.5,16.323529411764707
85,6,31,12.109375,12.109375,40.625,8.799019607843137
86,6,35,13.671875,13.671875,65.625,12.745098039215685
87,6,29,11.328125,11.328125,46.875,10.833333333333334
88,6,38,14.84375,14.84375,50.0,13.455882352941176
89,6,30,11.71875,11.71875,50.0,6.237745098039216
90,6,14,5.46875,5.46875,28.125,4.436274509803922
91,6,30,11.71875,11.71875,53.125,12.083333333333334
92,6,12,4.6875,4.6875,28.125,5.514705882352941
93,6,9,3.515625,3.515625,15.625,0.5882352941176471
94,6,24,9.375,9.375,34.375,8.308823529411764
95,6,31,12.109375,12.109375,59.375,8.431372549019608
96,6,25,9.765625,9.765625,40.625,8.345588235294118
97,6,4,1.5625,1.5625,9.375,0.12254901960784313
98,6,20,7.8125,7.8125,31.25,5.477941176470588
99,6,49,19.140625,19.140625,59.375,13.737745098039216
100,6,34,13.28125,13.28125,46.875,13.112745098039216
1,8,30,11.71875,11.71875,40.625,11.42156862745098
2,8,35,13.671875,13.671875,53.125,6.262254901960784
3,8,69,26.953125,26.953125,75.0,21.997549019607842
4,8,40,15.625,15.625,56.25,20.625
5,8,37,14.453125,14.453125,53.125,13.811274509803923
6,8,68,26.5625,26.5625,71.875,21.715686274509803
7,8,47,18.359375,18.359375,62.5,15.269607843137257
8,8,44,17.1875,17.1875,62.5,15.2328431372549
9,8,72,28.125,28.125,68.75,21.691176470588236
10,8,57,22.265625,22.265625,62.5,13.933823529411764
11,8,68,26.5625,26.5625,65.625,20.147058823529413
12,8,33,12.890625,12.890625,53.125,11.605392156862745
13,8,65,25.390625,25.390625,75.0,19.877450980392155
14,8,64,25.0,25.0,68.75,20.502450980392155
15,8,83,32.421875,32.421875,84.375,20.526960784313726
16,8,56,21.875,21.875,65.625,14.215686274509803
17,8,49,19.140625,19.140625,65.625,11.899509803921568
18,8,61,23.828125,23.828125,75.0,14.558823529411766
19,8,65,25.390625,25.390625,68.75,15.428921568627452
20,8,30,11.71875,11.71875,56.25,6.200980392156863
21,8,59,23.046875,23.046875,65.625,11.041666666666666
22,8,42,16.40625,16.40625,56.25,16.61764705882353
23,8,63,24.609375,24.609375,65.625,20.698529411764703
24,8,33,12.890625,12.890625,53.125,11.642156862745098
25,8,75,29.296875,29.296875,87.5,23.247549019607845
26,8,18,7.03125,7.03125,37.5,7.267156862745098
27,8,38,14.84375,14.84375,59.375,7.303921568627452
28,8,63,24.609375,24.609375,62.5,16.225490196078432
29,8,52,20.3125,20.3125,56.25,19.534313725490197
30,8,80,31.25,31.25,90.625,25.89460784313726
31,8,25,9.765625,9.765625,50.0,8.651960784313726
32,8,68,26.5625,26.5625,75.0,20.68627450980392
33,8,43,16.796875,16.796875,62.5,8.774509803921568
34,8,18,7.03125,7.03125,37.5,7.965686274509803
35,8,70,27.34375,27.34375,75.0,19.705882352941178
36,8,65,25.390625,25.390625,68.75,15.30637254901961
37,8,50,19.53125,19.53125,71.875,14.436274509803921
38,8,26,10.15625,10.15625,50.0,5.122549019607843
39,8,73,28.515625,28.515625,68.75,18.480392156862745
40,8,52,20.3125,20.3125,62.5,11.78921568627451
41,8,78,30.46875,30.46875,71.875,22.806372549019606
42,8,78,30.46875,30.46875,84.375,25.147058823529413
43,8,44,17.1875,17.1875,56.25,12.463235294117647
44,8,18,7.03125,7.03125,31.25,4.522058823529411
45,8,38,14.84375,14.84375,46.875,8.29656862745098
46,8,63,24.609375,24.609375,71.875,15.698529411764707
47,8,64,25.0,25.0,71.875,19.767156862745097
48,8,54,21.09375,21.09375,71.875,12.5
49,8,66,25.78125,25.78125,75.0,21.262254901960784
50,8,42,16.40625,16.40625,59.375,15.514705882352942
51,8,44,17.1875,17.1875,65.625,18.07598039215686
52,8,56,21.875,21.875,68.75,9.558823529411764
53,8,86,33.59375,33.59375,75.0,20.098039215686274
54,8,76,29.6875,29.6875,87.5,20.649509803921568
55,8,15,5.859375,5.859375,21.875,5.330882352941177
56,8,56,21.875,21.875,65.625,10.980392156862745
57,8,70,27.34375,27.34375,75.0,17.72058823529412
58,8,55,21.484375,21.484375,65.625,15.049019607843137
59,8,51,19.921875,19.921875,71.875,14.48529411764706
60,8,56,21.875,21.875,65.625,19.620098039215687
61,8,48,18.75,18.75,59.375,10.269607843137255
62,8,64,25.0,25.0,65.625,18.872549019607842
63,8,71,27.734375,27.734375,84.375,18.75
64,8,61,23.828125,23.828125,68.75,21.28676470588235
65,8,45,17.578125,17.578125,68.75,12.561274509803921
66,8,34,13.28125,13.28125,53.125,10.073529411764707
67,8,69,26.953125,26.953125,75.0,26.862745098039216
68,8,43,16.796875,16.796875,53.125,12.622549019607842
69,8,48,18.75,18.75,78.125,11.727941176470589
70,8,67,26.171875,26.171875,81.25,15.147058823529411
71,8,77,30.078125,30.078125,87.5,18.590686274509803
72,8,13,5.078125,5.078125,31.25,4.3504901960784315
73,8,34,13.28125,13.28125,53.125,10.79656862745098
74,8,33,12.890625,12.890625,53.125,8.57843137254902
75,8,38,14.84375,14.84375,53.125,12.205882352941176
76,8,61,23.828125,23.828125,75.0,17.941176470588236
77,8,58,22.65625,22.65625,81.25,12.745098039215685
78,8,56,21.875,21.875,75.0,17.120098039215687
79,8,58,22.65625,22.65625,71.875,21.801470588235293
80,8,62,24.21875,24.21875,71.875,18.504901960784316
81,8,75,29.296875,29.296875,78.125,25.012254901960784
82,8,37,14.453125,14.453125,53.125,13.259803921568627
83,8,59,23.046875,23.046875,75.0,15.96813725490196
84,8,69,26.953125,26.953125,78.125,17.254901960784313
85,8,57,22.265625,22.265625,65.625,17.058823529411764
86,8,61,23.828125,23.828125,71.875,14.142156862745098
87,8,56,21.875,21.875,62.5,17.941176470588236
88,8,75,29.296875,29.296875,78.125,17.00980392156863
89,8,58,22.65625,22.65625,71.875,17.965686274509803
90,8,43,16.796875,16.796875,50.0,16.090686274509807
91,8,60,23.4375,23.4375,65.625,18.284313725490193
92,8,42,16.40625,16.40625,46.875,11.16421568627451
93,8,25,9.765625,9.765625,40.625,8.455882352941178
94,8,48,18.75,18.75,56.25,11.899509803921568
95,8,60,23.4375,23.4375,71.875,15.71078431372549
96,8,52,20.3125,20.3125,59.375,17.61029411764706
97,8,14,5.46875,5.46875,31.25,3.7745098039215685
98,8,38,14.84375,14.84375,53.125,11.629901960784315
99,8,79,30.859375,30.859375,84.375,23.737745098039216
100,8,65,25.390625,25.390625,71.875,15.28186274509804
1,10,64,25.0,25.0,62.5,17.916666666666668
2,10,77,30.078125,30.078125,81.25,17.13235294117647
3,10,89,34.765625,34.765625,84.375,20.122549019607845
4,10,72,28.125,28.125,78.125,19.17892156862745
5,10,66,25.78125,25.78125,81.25,19.82843137254902
6,10,77,30.078125,30.078125,93.75,18.235294117647058
7,10,77,30.078125,30.078125,81.25,23.713235294117645
8,10,66,25.78125,25.78125,75.0,17.352941176470587
9,10,99,38.671875,38.671875,90.625,24.044117647058822
10,10,68,26.5625,26.5625,78.125,20.857843137254903
11,10,82,32.03125,32.03125,87.5,25.551470588235293
12,10,76,29.6875,29.6875,75.0,22.43872549019608
13,10,109,42.578125,42.578125,100.0,22.512254901960784
14,10,115,44.921875,44.921875,96.875,33.1985294117647
15,10,100,39.0625,39.0625,93.75,24.485294117647058
16,10,99,38.671875,38.671875,93.75,24.24019607843137
17,10,79,30.859375,30.859375,100.0,25.34313725490196
18,10,88,34.375,34.375,87.5,22.769607843137255
19,10,82,32.03125,32.03125,84.375,21.384803921568626
20,10,58,22.65625,22.65625,87.5,18.40686274509804
21,10,88,34.375,34.375,100.0,25.63725490196078
22,10,69,26.953125,26.953125,78.125,19.987745098039216
23,10,98,38.28125,38.28125,90.625,29.1421568627451
24,10,61,23.828125,23.828125,78.125,20.772058823529413
25,10,108,42.1875,42.1875,96.875,32.806372549019606
26,10,44,17.1875,17.1875,59.375,16.580882352941178
27,10,84,32.8125,32.8125,90.625,20.330882352941178
28,10,91,35.546875,35.546875,84.375,22.181372549019606
29,10,84,32.8125,32.8125,81.25,21.31127450980392
30,10,126,49.21875,49.21875,100.0,32.13235294117647
31,10,60,23.4375,23.4375,71.875,14.007352941176471
32,10,104,40.625,40.625,87.5,25.96813725490196
33,10,84,32.8125,32.8125,87.5,22.389705882352942
34,10,41,16.015625,16.015625,50.0,13.590686274509803
35,10,86,33.59375,33.59375,93.75,25.245098039215684
36,10,96,37.5,37.5,100.0,26.629901960784313
37,10,85,33.203125,33.203125,87.5,24.375
38,10,65,25.390625,25.390625,93.75,13.872549019607844
39,10,88,34.375,34.375,84.375,26.05392156862745
40,10,83,32.421875,32.421875,90.625,24.987745098039216
41,10,90,35.15625,35.15625,87.5,19.387254901960784
42,10,109,42.578125,42.578125,93.75,26.25
43,10,81,31.640625,31.640625,81.25,26.090686274509807
44,10,50,19.53125,19.53125,59.375,20.57598039215686
45,10,72,28.125,28.125,75.0,17.5
46,10,88,34.375,34.375,84.375,31.066176470588236
47,10,90,35.15625,35.15625,93.75,21.299019607843135
48,10,79,30.859375,30.859375,96.875,24.338235294117645
49,10,86,33.59375,33.59375,90.625,26.997549019607842
50,10,68,26.5625,26.5625,75.0,13.750000000000002
51,10,79,30.859375,30.859375,90.625,15.919117647058822
52,10,75,29.296875,29.296875,81.25,20.79656862745098
53,10,105,41.015625,41.015625,96.875,29.350490196078432
54,10,111,43.359375,43.359375,100.0,22.24264705882353
55,10,34,13.28125,13.28125,53.125,8.57843137254902
56,10,88,34.375,34.375,100.0,27.218137254901958
57,10,99,38.671875,38.671875,93.75,26.127450980392158
58,10,71,27.734375,27.734375,78.125,26.924019607843135
59,10,92,35.9375,35.9375,100.0,23.61519607843137
60,10,82,32.03125,32.03125,84.375,25.183823529411764
61,10,69,26.953125,26.953125,62.5,16.237745098039216
62,10,94,36.71875,36.71875,93.75,22.181372549019606
63,10,90,35.15625,35.15625,90.625,21.862745098039216
64,10,105,41.015625,41.015625,87.5,27.120098039215684
65,10,74,28.90625,28.90625,84.375,26.568627450980394
66,10,61,23.828125,23.828125,81.25,19.28921568627451
67,10,110,42.96875,42.96875,93.75,32.92892156862745
68,10,71,27.734375,27.734375,81.25,14.056372549019608
69,10,79,30.859375,30.859375,87.5,23.848039215686274
70,10,88,34.375,34.375,100.0,30.61274509803922
71,10,92,35.9375,35.9375,96.875,24.52205882352941
72,10,35,13.671875,13.671875,50.0,15.53921568627451
73,10,62,24.21875,24.21875,71.875,15.477941176470589
74,10,77,30.078125,30.078125,75.0,21.495098039215687
75,10,73,28.515625,28.515625,78.125,18.566176470588236
76,10,93,36.328125,36.328125,90.625,28.97058823529412
77,10,86,33.59375,33.59375,93.75,28.749999999999996
78,10,91,35.546875,35.546875,84.375,21.55637254901961
79,10,101,39.453125,39.453125,90.625,24.044117647058822
