trial,experiment,diff_bits,total_bits,diff_bytes,total_bytes,diff_sum_bytes,bit_avalanche_percent,bit_npcr_percent,byte_npcr_percent,byte_uaci_percent,key_a,key_b,key_diff_bit_percent
55,Bit_Perturbation,105,512,30,64,2586,20.5078125,20.5078125,46.875,15.845588235294116,,,
56,Bit_Perturbation,103,512,31,64,2653,20.1171875,20.1171875,48.4375,16.256127450980394,,,
57,Bit_Perturbation,58,512,24,64,1194,11.328125,11.328125,37.5,7.3161764705882355,,,
58,Bit_Perturbation,83,512,28,64,1417,16.2109375,16.2109375,43.75,8.682598039215685,,,
59,Bit_Perturbation,86,512,29,64,1979,16.796875,16.796875,45.3125,12.126225490196079,,,
60,Bit_Perturbation,64,512,22,64,1622,12.5,12.5,34.375,9.938725490196077,,,
61,Bit_Perturbation,99,512,30,64,2053,19.3359375,19.3359375,46.875,12.579656862745098,,,
62,Bit_Perturbation,92,512,26,64,2029,17.96875,17.96875,40.625,12.432598039215687,,,
63,Bit_Perturbation,58,512,26,64,1203,11.328125,11.328125,40.625,7.3713235294117645,,,
64,Bit_Perturbation,85,512,30,64,1582,16.6015625,16.6015625,46.875,9.693627450980392,,,
65,Bit_Perturbation,93,512,27,64,1896,18.1640625,18.1640625,42.1875,11.617647058823529,,,
66,Bit_Perturbation,104,512,32,64,2163,20.3125,20.3125,50.0,13.253676470588236,,,
67,Bit_Perturbation,99,512,31,64,2253,19.3359375,19.3359375,48.4375,13.80514705882353,,,
68,Bit_Perturbation,86,512,28,64,2052,16.796875,16.796875,43.75,12.573529411764707,,,
69,Bit_Perturbation,128,512,31,64,2884,25.0,25.0,48.4375,17.67156862745098,,,
70,Bit_Perturbation,75,512,23,64,2111,14.6484375,14.6484375,35.9375,12.935049019607844,,,
71,Bit_Perturbation,94,512,30,64,2216,18.359375,18.359375,46.875,13.57843137254902,,,
72,Bit_Perturbation,71,512,24,64,1862,13.8671875,13.8671875,37.5,11.409313725490195,,,
73,Bit_Perturbation,90,512,27,64,2092,17.578125,17.578125,42.1875,12.81862745098039,,,
74,Bit_Perturbation,94,512,31,64,1922,18.359375,18.359375,48.4375,11.776960784313726,,,
75,Bit_Perturbation,97,512,29,64,2229,18.9453125,18.9453125,45.3125,13.658088235294116,,,
76,Bit_Perturbation,82,512,27,64,1551,16.015625,16.015625,42.1875,9.503676470588236,,,
77,Bit_Perturbation,120,512,32,64,2965,23.4375,23.4375,50.0,18.167892156862745,,,
78,Bit_Perturbation,75,512,27,64,1702,14.6484375,14.6484375,42.1875,10.428921568627452,,,
79,Bit_Perturbation,103,512,29,64,2779,20.1171875,20.1171875,45.3125,17.028186274509803,,,
80,Bit_Perturbation,113,512,32,64,2511,22.0703125,22.0703125,50.0,15.386029411764707,,,
81,Bit_Perturbation,98,512,28,64,1788,19.140625,19.140625,43.75,10.955882352941176,,,
82,Bit_Perturbation,74,512,23,64,2294,14.453125,14.453125,35.9375,14.056372549019608,,,
83,Bit_Perturbation,69,512,27,64,1531,13.4765625,13.4765625,42.1875,9.381127450980392,,,
84,Bit_Perturbation,98,512,31,64,2007,19.140625,19.140625,48.4375,12.297794117647058,,,
85,Bit_Perturbation,103,512,31,64,2603,20.1171875,20.1171875,48.4375,15.949754901960784,,,
86,Bit_Perturbation,91,512,28,64,2434,17.7734375,17.7734375,43.75,14.91421568627451,,,
87,Bit_Perturbation,93,512,29,64,1336,18.1640625,18.1640625,45.3125,8.186274509803921,,,
88,Bit_Perturbation,79,512,26,64,1588,15.4296875,15.4296875,40.625,9.730392156862745,,,
89,Bit_Perturbation,69,512,24,64,1745,13.4765625,13.4765625,37.5,10.692401960784313,,,
90,Bit_Perturbation,102,512,32,64,2184,19.921875,19.921875,50.0,13.382352941176471,,,
91,Bit_Perturbation,66,512,26,64,1154,12.890625,12.890625,40.625,7.071078431372549,,,
92,Bit_Perturbation,92,512,29,64,2448,17.96875,17.96875,45.3125,15.0,,,
93,Bit_Perturbation,92,512,27,64,1612,17.96875,17.96875,42.1875,9.877450980392156,,,
94,Bit_Perturbation,112,512,32,64,2848,21.875,21.875,50.0,17.45098039215686,,,
95,Bit_Perturbation,108,512,31,64,2654,21.09375,21.09375,48.4375,16.262254901960784,,,
96,Bit_Perturbation,90,512,30,64,2092,17.578125,17.578125,46.875,12.81862745098039,,,
97,Bit_Perturbation,50,512,17,64,1054,9.765625,9.765625,26.5625,6.458333333333334,,,
98,Bit_Perturbation,87,512,29,64,2524,16.9921875,16.9921875,45.3125,15.465686274509805,,,
99,Bit_Perturbation,111,512,32,64,2167,21.6796875,21.6796875,50.0,13.278186274509803,,,
100,Bit_Perturbation,91,512,26,64,2307,17.7734375,17.7734375,40.625,14.136029411764707,,,
1,Key_Sensitivity,254,512,,,,,,,,DoctorSecretPass_0_KeyA,DoctorSecretPass_0_Key@,49.609375
2,Key_Sensitivity,238,512,,,,,,,,DoctorSecretPass_1_KeyA,DoctorSecretPass_1_Key@,46.484375
